"prov","kabkot","kecamatan","code_prov","code_kab","code_kec"
"ACEH","KAB. SIMEULUE","ALAFAN","11","01","051"
"ACEH","KAB. SIMEULUE","SALANG","11","01","040"
"ACEH","KAB. SIMEULUE","SIMEULUE BARAT","11","01","050"
"ACEH","KAB. SIMEULUE","SIMEULUE CUT","11","01","032"
"ACEH","KAB. SIMEULUE","SIMEULUE TENGAH","11","01","030"
"ACEH","KAB. SIMEULUE","SIMEULUE TIMUR","11","01","020"
"ACEH","KAB. SIMEULUE","TELUK DALAM","11","01","031"
"ACEH","KAB. SIMEULUE","TEUPAH BARAT","11","01","021"
"ACEH","KAB. SIMEULUE","TEUPAH SELATAN","11","01","010"
"ACEH","KAB. SIMEULUE","TEUPAH TENGAH","11","01","022"
"ACEH","KAB. ACEH SINGKIL","DANAU PARIS","11","02","032"
"ACEH","KAB. ACEH SINGKIL","GUNUNG MERIAH","11","02","031"
"ACEH","KAB. ACEH SINGKIL","KOTA BAHARU","11","02","043"
"ACEH","KAB. ACEH SINGKIL","KUALA BARU","11","02","022"
"ACEH","KAB. ACEH SINGKIL","PULAU BANYAK","11","02","010"
"ACEH","KAB. ACEH SINGKIL","PULAU BANYAK BARAT","11","02","011"
"ACEH","KAB. ACEH SINGKIL","SIMPANG KANAN","11","02","030"
"ACEH","KAB. ACEH SINGKIL","SINGKIL","11","02","020"
"ACEH","KAB. ACEH SINGKIL","SINGKIL UTARA","11","02","021"
"ACEH","KAB. ACEH SINGKIL","SINGKOHOR","11","02","042"
"ACEH","KAB. ACEH SINGKIL","SURO","11","02","033"
"ACEH","KAB. ACEH SELATAN","BAKONGAN","11","03","020"
"ACEH","KAB. ACEH SELATAN","BAKONGAN TIMUR","11","03","021"
"ACEH","KAB. ACEH SELATAN","KLUET SELATAN","11","03","030"
"ACEH","KAB. ACEH SELATAN","KLUET TENGAH","11","03","042"
"ACEH","KAB. ACEH SELATAN","KLUET TIMUR","11","03","031"
"ACEH","KAB. ACEH SELATAN","KLUET UTARA","11","03","040"
"ACEH","KAB. ACEH SELATAN","KOTA BAHAGIA","11","03","022"
"ACEH","KAB. ACEH SELATAN","LABUHAN HAJI","11","03","090"
"ACEH","KAB. ACEH SELATAN","LABUHAN HAJI BARAT","11","03","092"
"ACEH","KAB. ACEH SELATAN","LABUHAN HAJI TIMUR","11","03","091"
"ACEH","KAB. ACEH SELATAN","MEUKEK","11","03","080"
"ACEH","KAB. ACEH SELATAN","PASIE RAJA","11","03","041"
"ACEH","KAB. ACEH SELATAN","SAMA DUA","11","03","060"
"ACEH","KAB. ACEH SELATAN","SAWANG","11","03","070"
"ACEH","KAB. ACEH SELATAN","TAPAK TUAN","11","03","050"
"ACEH","KAB. ACEH SELATAN","TRUMON","11","03","010"
"ACEH","KAB. ACEH SELATAN","TRUMON TENGAH","11","03","012"
"ACEH","KAB. ACEH SELATAN","TRUMON TIMUR","11","03","011"
"ACEH","KAB. ACEH TENGGARA","BABUL MAKMUR","11","04","021"
"ACEH","KAB. ACEH TENGGARA","BABUL RAHMAH","11","04","011"
"ACEH","KAB. ACEH TENGGARA","BABUSSALAM","11","04","040"
"ACEH","KAB. ACEH TENGGARA","BADAR","11","04","050"
"ACEH","KAB. ACEH TENGGARA","BAMBEL","11","04","030"
"ACEH","KAB. ACEH TENGGARA","BUKIT TUSAM","11","04","031"
"ACEH","KAB. ACEH TENGGARA","DARUL HASANAH","11","04","051"
"ACEH","KAB. ACEH TENGGARA","DELENG POKHKISEN","11","04","053"
"ACEH","KAB. ACEH TENGGARA","KETAMBE","11","04","052"
"ACEH","KAB. ACEH TENGGARA","LAWE ALAS","11","04","010"
"ACEH","KAB. ACEH TENGGARA","LAWE BULAN","11","04","041"
"ACEH","KAB. ACEH TENGGARA","LAWE SIGALA-GALA","11","04","020"
"ACEH","KAB. ACEH TENGGARA","LAWE SUMUR","11","04","032"
"ACEH","KAB. ACEH TENGGARA","LEUSER","11","04","023"
"ACEH","KAB. ACEH TENGGARA","SEMADAM","11","04","022"
"ACEH","KAB. ACEH TENGGARA","TANOH ALAS","11","04","012"
"ACEH","KAB. ACEH TIMUR","BANDA ALAM","11","05","132"
"ACEH","KAB. ACEH TIMUR","BIREM BAYEUN","11","05","090"
"ACEH","KAB. ACEH TIMUR","DARUL AMAN","11","05","140"
"ACEH","KAB. ACEH TIMUR","DARUL FALAH","11","05","151"
"ACEH","KAB. ACEH TIMUR","DARUL IHSAN","11","05","134"
"ACEH","KAB. ACEH TIMUR","IDI RAYEUK","11","05","130"
"ACEH","KAB. ACEH TIMUR","IDI TIMUR","11","05","135"
"ACEH","KAB. ACEH TIMUR","IDI TUNONG","11","05","133"
"ACEH","KAB. ACEH TIMUR","INDRA MAKMUR","11","05","161"
"ACEH","KAB. ACEH TIMUR","JULOK","11","05","160"
"ACEH","KAB. ACEH TIMUR","MADAT","11","05","181"
