"prov","kabkot","kecamatan","code_prov","code_kab","code_kec","KPwDN","KPwDN_Code"
"ACEH","KAB. SIMEULUE","SIMEULUE BARAT",11,1,50,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","SIMEULUE CUT",11,1,32,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","SIMEULUE TENGAH",11,1,30,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","ALAFAN",11,1,51,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","SALANG",11,1,40,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","TEUPAH BARAT",11,1,21,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","TEUPAH TENGAH",11,1,22,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","SIMEULUE TIMUR",11,1,20,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","TELUK DALAM",11,1,31,"KPwDN Aceh",1
"ACEH","KAB. SIMEULUE","TEUPAH SELATAN",11,1,10,"KPwDN Aceh",1
"ACEH","KAB. BIREUEN","GANDA PURA",11,10,100,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","JANGKA",11,10,70,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","PEUDADA",11,10,40,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","PEULIMBANG",11,10,31,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","PEUSANGAN",11,10,80,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","PEUSANGAN SELATAN",11,10,81,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","PEUSANGAN SIBLAH KRUENG",11,10,82,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","JEUMPA",11,10,60,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","JEUNIEB",11,10,30,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","JULI",11,10,50,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","KOTA JUANG",11,10,61,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","KUALA",11,10,62,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","KUTA BLANG",11,10,101,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","MAKMUR",11,10,90,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","PANDRAH",11,10,20,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","SAMALANGA",11,10,10,"KPwDN Lhokseumawe",24
"ACEH","KAB. BIREUEN","SIMPANG MAMPLAM",11,10,11,"KPwDN Lhokseumawe",24
"ACEH","KAB. ACEH UTARA","KUTA MAKMUR",11,11,30,"KPwDN Lhokseumawe",24
"ACEH","KAB. ACEH UTARA","LANGKAHAN",11,11,81,"KPwDN Lhokseumawe",24
"ACEH","KAB. ACEH UTARA","MATANGKULI",11,11,60,"KPwDN Lhokseumawe",24
"ACEH","KAB. ACEH UTARA","MEURAH MULIA",11,11,50,"KPwDN Lhokseumawe",24
"ACEH","KAB. ACEH UTARA","LAPANG",11,11,151,"KPwDN Lhokseumawe",24
"ACEH","KAB. ACEH UTARA","LHOKSUKON",11,11,110,"KPwDN Lhokseumawe",24
